id,target
0,0.03271
1,0.03949
2,0.03435
3,0.03015
4,0.03018
5,0.03111
6,0.03588
8,0.03338
10,0.04481
11,0.03143
12,0.03215
14,0.03088
15,0.04055
18,0.03715
21,0.04003
23,0.04076
24,0.03469
25,0.03722
27,0.04869
29,0.03389
30,0.03818
31,0.03637
32,0.04340
33,0.03917
37,0.02998
38,0.03425
39,0.04868
40,0.03412
41,0.03798
42,0.03363
44,0.03252
45,0.03643
47,0.03211
49,0.03130
51,0.03487
52,0.03202
53,0.03645
54,0.04622
55,0.03584
56,0.03867
57,0.04531
59,0.04560
60,0.03857
62,0.03089
63,0.05231
67,0.03985
68,0.02990
69,0.04804
70,0.03607
71,0.03970
73,0.03717
75,0.03967
76,0.03193
81,0.02924
82,0.03890
83,0.03245
86,0.03123
87,0.03841
88,0.03174
91,0.03983
92,0.03597
94,0.03235
97,0.03713
100,0.03903
102,0.03747
103,0.03268
105,0.03636
106,0.04553
108,0.03811
113,0.04757
114,0.03797
115,0.03535
118,0.04087
122,0.02971
124,0.03124
126,0.03305
128,0.03649
129,0.03689
130,0.04144
131,0.04840
132,0.04621
133,0.03005
134,0.04741
135,0.04325
136,0.03272
139,0.03335
140,0.03661
141,0.03906
146,0.03292
148,0.03542
151,0.03069
152,0.04186
154,0.03247
157,0.03481
158,0.03041
159,0.04578
161,0.03793
164,0.03780
165,0.04499
167,0.03552
168,0.03766
169,0.03795
171,0.03520
172,0.04316
173,0.03112
174,0.03773
175,0.03898
176,0.04164
178,0.03605
179,0.03243
180,0.03104
181,0.02709
182,0.03930
183,0.03827
184,0.04526
185,0.03330
187,0.02899
188,0.03388
190,0.03502
191,0.03506
192,0.05488
195,0.03546
196,0.04097
198,0.03978
201,0.03306
202,0.03465
203,0.03327
204,0.03165
207,0.03414
213,0.04565
219,0.03224
220,0.03680
222,0.04089
226,0.03418
228,0.04737
230,0.03842
231,0.03428
232,0.04105
233,0.03937
234,0.02869
236,0.04213
237,0.03441
238,0.04456
240,0.03607
241,0.03066
242,0.03749
243,0.03598
245,0.03899
246,0.05143
247,0.03246
249,0.05167
250,0.03964
251,0.03015
252,0.04156
253,0.03116
254,0.03728
255,0.04846
256,0.03947
257,0.03510
258,0.04113
259,0.04874
260,0.02694
262,0.03001
267,0.03202
268,0.03148
270,0.03088
272,0.03754
273,0.03194
274,0.04403
275,0.04242
276,0.03225
277,0.03484
278,0.03966
279,0.04443
281,0.04204
282,0.03513
283,0.03949
287,0.03594
288,0.03846
289,0.03986
290,0.03695
291,0.03822
292,0.05128
293,0.03729
294,0.03517
295,0.03219
296,0.05340
297,0.03287
298,0.03682
299,0.04048
300,0.04204
303,0.04331
304,0.03981
308,0.03122
314,0.04453
315,0.04082
317,0.03521
318,0.04856
320,0.04345
322,0.03919
323,0.03782
327,0.04341
329,0.04229
331,0.03732
332,0.05187
333,0.04128
334,0.03345
335,0.03038
336,0.03736
337,0.04419
341,0.04492
343,0.03130
345,0.04111
347,0.03224
348,0.03100
349,0.03358
352,0.03638
353,0.02925
354,0.03936
355,0.03420
356,0.04322
357,0.03814
358,0.03399
359,0.03489
361,0.03643
362,0.03890
365,0.03864
366,0.04104
368,0.03699
369,0.03371
371,0.03168
373,0.03554
376,0.03440
377,0.04206
379,0.03560
381,0.03390
382,0.03868
383,0.03549
384,0.03535
385,0.04026
386,0.04039
387,0.03809
388,0.04421
390,0.03926
391,0.03574
392,0.03881
393,0.04667
394,0.03479
396,0.03950
400,0.03250
402,0.05923
403,0.03466
405,0.03329
407,0.03860
409,0.04479
411,0.03317
412,0.03117
414,0.05841
415,0.03630
416,0.02923
418,0.03435
419,0.03834
421,0.03069
422,0.05862
423,0.04162
424,0.04231
426,0.03085
427,0.04612
428,0.04183
436,0.03767
438,0.03619
442,0.03428
443,0.03440
445,0.03645
446,0.03606
447,0.03039
450,0.04212
452,0.03188
453,0.03946
455,0.03616
458,0.05295
459,0.02970
461,0.03737
463,0.02776
467,0.05590
470,0.04015
471,0.04234
472,0.02995
476,0.04284
477,0.03686
481,0.03712
482,0.04029
483,0.04682
485,0.03568
487,0.03850
488,0.03546
490,0.04319
492,0.03812
494,0.04641
497,0.04307
499,0.03890
500,0.03998
501,0.03327
503,0.03701
505,0.03362
506,0.03836
507,0.03932
509,0.04282
510,0.03571
511,0.04071
512,0.02978
514,0.04107
515,0.02984
516,0.03607
517,0.04877
519,0.04037
520,0.04509
521,0.03205
522,0.03508
523,0.03695
527,0.04120
530,0.03939
532,0.03396
534,0.03311
536,0.04239
539,0.03178
543,0.03261
547,0.03915
550,0.04217
551,0.04191
552,0.03327
553,0.04684
555,0.03342
556,0.03802
557,0.03113
558,0.04209
559,0.03369
560,0.03489
561,0.03762
565,0.03747
566,0.03344
567,0.03610
571,0.03371
572,0.03434
574,0.03310
575,0.03063
576,0.04056
577,0.04600
578,0.03412
579,0.03983
