id,target
0,0.02525
1,0.03294
2,0.02784
3,0.01778
4,0.01392
5,0.01393
6,0.03205
8,0.01379
10,0.06970
11,0.03614
12,0.02773
14,0.02017
15,0.10163
18,0.02808
21,0.05110
23,0.02796
24,0.03047
25,0.03144
27,0.02766
29,0.06518
30,0.02000
31,0.10760
32,0.04978
33,0.03094
37,0.04875
38,0.04383
39,0.04922
40,0.01909
41,0.05576
42,0.02863
44,0.01784
45,0.03424
47,0.08037
49,0.02691
51,0.03184
52,0.01931
53,0.03487
54,0.07694
55,0.01700
56,0.01833
57,0.15682
59,0.04048
60,0.04580
62,0.01423
63,0.10047
67,0.03859
68,0.01159
69,0.08973
70,0.02625
71,0.05626
73,0.07028
75,0.02754
76,0.02635
81,0.02496
82,0.02801
83,0.02511
86,0.04696
87,0.05269
88,0.01928
91,0.07453
92,0.03740
94,0.03626
97,0.02754
100,0.02816
102,0.07644
103,0.02286
105,0.04206
106,0.05811
108,0.02312
113,0.07143
114,0.02824
115,0.03032
118,0.05936
122,0.02254
124,0.06179
126,0.03701
128,0.03048
129,0.06751
130,0.05827
131,0.02988
132,0.04946
133,0.01813
134,0.06782
135,0.05277
136,0.01258
139,0.01017
140,0.03110
141,0.05991
146,0.02613
148,0.03667
151,0.02225
152,0.06119
154,0.02249
157,0.02402
158,0.01376
159,0.10042
161,0.02811
164,0.01968
165,0.05642
167,0.02665
168,0.07023
169,0.02829
171,0.02988
172,0.07537
173,0.02752
174,0.02340
175,0.07319
176,0.02822
178,0.03813
179,0.02041
180,0.02816
181,0.02119
182,0.06851
183,0.08632
184,0.05379
185,0.04847
187,0.04576
188,0.01565
190,0.01889
191,0.02424
192,0.07164
195,0.02408
196,0.02469
198,0.04095
201,0.03313
202,0.05163
203,0.01899
204,0.01881
207,0.02643
213,0.02555
219,0.02191
220,0.01930
222,0.06806
226,0.01332
228,0.11592
230,0.02652
231,0.01928
232,0.03909
233,0.02712
234,0.01041
236,0.02966
237,0.02040
238,0.05897
240,0.04053
241,0.01707
242,0.05391
243,0.07389
245,0.03369
246,0.04190
247,0.01880
249,0.05648
250,0.02742
251,0.01341
252,0.01687
253,0.01468
254,0.04054
255,0.07373
256,0.03048
257,0.02480
258,0.02851
259,0.09952
260,0.01523
262,0.01455
267,0.02599
268,0.04210
270,0.01319
272,0.02256
273,0.02187
274,0.01433
275,0.02424
276,0.03286
277,0.04215
278,0.05920
279,0.05208
281,0.03677
282,0.04968
283,0.03500
287,0.03567
288,0.05586
289,0.03562
290,0.01972
291,0.03643
292,0.11918
293,0.01863
294,0.02392
295,0.01999
296,0.11915
297,0.03066
298,0.03668
299,0.05903
300,0.04429
303,0.02591
304,0.05348
308,0.01855
314,0.09264
315,0.02267
317,0.03092
318,0.05885
320,0.07321
322,0.04623
323,0.02139
327,0.04992
329,0.06011
331,0.02165
332,0.15309
333,0.08325
334,0.02112
335,0.01876
336,0.03932
337,0.03189
341,0.03781
343,0.03278
345,0.04498
347,0.03154
348,0.03742
349,0.02662
352,0.02661
353,0.01368
354,0.05621
355,0.02907
356,0.04950
357,0.02113
358,0.03981
359,0.04917
361,0.09453
362,0.03059
365,0.03440
366,0.05062
368,0.03808
369,0.02501
371,0.02418
373,0.03147
376,0.07290
377,0.03606
379,0.04663
381,0.02925
382,0.02437
383,0.02300
384,0.05166
385,0.02398
386,0.03765
387,0.01441
388,0.09420
390,0.02083
391,0.03610
392,0.11933
393,0.02777
394,0.04048
396,0.03701
400,0.03095
402,0.02589
403,0.02017
405,0.02999
407,0.04369
409,0.03369
411,0.02750
412,0.01183
414,0.10165
415,0.03002
416,0.03034
418,0.02114
419,0.01938
421,0.01042
422,0.04424
423,0.06362
424,0.05694
426,0.02410
427,0.07469
428,0.03312
436,0.03566
438,0.03587
442,0.02417
443,0.01616
445,0.02997
446,0.03158
447,0.04155
450,0.05089
452,0.01475
453,0.03747
455,0.03763
458,0.06000
459,0.01430
461,0.03567
463,0.01645
467,0.04564
470,0.02011
471,0.02516
472,0.03678
476,0.05689
477,0.02549
481,0.03877
482,0.05876
483,0.10645
485,0.02466
487,0.01868
488,0.01819
490,0.01485
492,0.01816
494,0.06624
497,0.09521
499,0.02460
500,0.03395
501,0.02717
503,0.02441
505,0.03033
506,0.03957
507,0.02832
509,0.06219
510,0.04657
511,0.04389
512,0.01527
514,0.02012
515,0.02094
516,0.04514
517,0.09620
519,0.04913
520,0.05025
521,0.02424
522,0.06405
523,0.04788
527,0.03318
530,0.07851
532,0.05788
534,0.03114
